DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1990,6.412,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1991,-3.496,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1992,-3.378,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1993,0.194,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1994,3.586,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1995,6.696,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1996,6.354,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1997,8.776,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1998,16.347,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,1999,41.525,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2000,45.781,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2001,52.210,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2002,53.360,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2003,50.757,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2004,47.764,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2005,49.710,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2006,40.387,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2007,49.179,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2008,49.780,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2009,46.388,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2010,28.897,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2011,35.658,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2012,15.626,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2013,25.300,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2014,28.716,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2015,12.593,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2016,20.128,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2017,38.126,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2018,20.967,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2019,31.546,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AL,2020,35.822,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1990,68.826,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1991,66.867,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1992,68.662,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1993,65.905,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1994,65.449,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1995,66.555,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1996,69.596,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1997,67.603,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1998,70.371,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,1999,65.428,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2000,65.543,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2001,65.040,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2002,68.022,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2003,70.993,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2004,71.072,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2005,71.761,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2006,72.257,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2007,68.480,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2008,68.738,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2009,65.121,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2010,62.779,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2011,69.976,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2012,63.782,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2013,61.261,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2014,65.620,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2015,60.371,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2016,62.099,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2017,63.928,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2018,64.231,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2019,71.623,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,AT,2020,58.324,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BA,2014,28.209,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BA,2015,33.693,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BA,2016,31.518,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BA,2017,34.031,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BA,2018,24.263,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BA,2019,27.377,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BA,2020,25.401,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1990,75.267,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1991,77.077,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1992,78.167,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1993,76.775,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1994,79.863,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1995,80.952,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1996,80.543,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1997,78.419,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1998,80.851,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,1999,77.028,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2000,78.164,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2001,80.693,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2002,77.667,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2003,79.704,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2004,79.773,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2005,79.908,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2006,79.484,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2007,76.879,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2008,80.843,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2009,75.913,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2010,78.553,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2011,76.463,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2012,76.564,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2013,77.777,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2014,80.102,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2015,84.146,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2016,75.890,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2017,75.257,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2018,82.969,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2019,77.592,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BE,2020,78.055,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1990,63.429,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1991,63.208,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1992,56.599,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1993,58.613,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1994,55.346,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1995,57.318,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1996,56.403,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1997,51.221,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1998,50.259,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,1999,48.593,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2000,46.409,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2001,46.199,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2002,46.917,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2003,46.650,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2004,48.340,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2005,47.343,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2006,46.223,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2007,51.233,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2008,52.154,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2009,45.393,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2010,40.146,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2011,36.732,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2012,36.853,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2013,38.319,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2014,35.172,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2015,36.446,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2016,38.472,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2017,39.362,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2018,36.325,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2019,38.104,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,BG,2020,37.882,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1990,98.295,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1991,100.745,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1992,99.859,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1993,103.636,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1994,97.006,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1995,100.480,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1996,98.175,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1997,97.716,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1998,96.799,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,1999,101.907,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2000,98.632,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2001,96.075,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2002,100.557,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2003,96.074,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2004,95.457,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2005,100.703,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2006,102.508,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2007,95.894,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2008,97.540,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2009,96.130,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2010,100.636,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2011,92.263,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2012,96.748,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2013,96.071,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2014,93.086,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2015,97.319,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2016,95.841,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2017,95.927,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2018,92.491,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2019,92.792,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CY,2020,93.077,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CZ,1990,15.179,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CZ,1991,15.609,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CZ,1992,15.701,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CZ,1993,15.836,
ESTAT:T2020_RD320(1.0),14/04/22 11:00:00,A,TOTAL,PC,CZ,1994,18.641,
